Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,12,0,245,36,92,.391,5,28,.179,31,64,.484,.418,28,33,.848,24,60,84,16,2,7,15,19,105,achiupr01
2,Steven Adams,C,29,MEM,30,30,788,103,175,.589,0,1,.000,103,174,.592,.589,26,78,.333,143,166,309,65,24,35,57,69,232,adamsst01
3,Bam Adebayo,C,25,MIA,31,31,1093,258,482,.535,1,10,.100,257,472,.544,.536,130,157,.828,79,228,307,101,29,21,94,98,647,adebaba01
4,Ochai Agbaji,SG,22,UTA,16,0,127,17,42,.405,5,21,.238,12,21,.571,.464,4,9,.444,6,11,17,3,1,0,0,13,43,agbajoc01
5,Santi Aldama,PF,22,MEM,32,16,756,110,230,.478,43,113,.381,67,117,.573,.572,47,65,.723,40,127,167,42,24,29,19,76,310,aldamsa01
6,Nickeil Alexander-Walker,SG,24,UTA,26,2,402,65,133,.489,29,69,.420,36,64,.563,.598,19,26,.731,8,33,41,59,17,10,33,44,178,alexani01
7,Grayson Allen,SG,27,MIL,31,29,852,104,235,.443,54,141,.383,50,94,.532,.557,57,61,.934,31,81,112,77,23,6,34,43,319,allengr01
8,Jarrett Allen,C,24,CLE,28,28,931,154,248,.621,0,4,.000,154,244,.631,.621,80,109,.734,83,200,283,41,21,34,43,63,388,allenja01
9,Jose Alvarado,PG,24,NOP,33,7,683,109,257,.424,48,137,.350,61,120,.508,.518,34,46,.739,15,61,76,98,43,4,45,71,300,alvarjo01
10,Kyle Anderson,PF,29,MIN,25,10,608,66,138,.478,10,29,.345,56,109,.514,.514,40,50,.800,13,93,106,85,28,20,36,47,182,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,29,29,973,330,623,.530,22,90,.244,308,533,.578,.547,237,368,.644,65,270,335,150,25,26,110,105,919,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,16,0,69,3,6,.500,0,1,.000,3,5,.600,.500,1,2,.500,4,10,14,3,2,3,5,4,7,antetth01
13,Cole Anthony,PG,22,ORL,19,3,499,86,196,.439,25,72,.347,61,124,.492,.503,48,53,.906,9,77,86,84,16,7,33,63,245,anthoco01
14,OG Anunoby,SF,25,TOR,30,30,1111,210,437,.481,52,146,.356,158,291,.543,.540,93,112,.830,41,135,176,62,66,25,75,88,565,anunoog01
15,Ryan Arcidiacono,PG,28,NYK,8,0,22,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,4,4,2,2,0,1,2,3,arcidry01
16,Deni Avdija,SF,22,WAS,34,29,882,99,235,.421,31,102,.304,68,133,.511,.487,46,58,.793,30,157,187,89,26,22,48,104,275,avdijde01
17,Deandre Ayton,C,24,PHO,32,32,931,252,407,.619,7,18,.389,245,389,.630,.628,68,93,.731,97,212,309,61,17,26,67,94,579,aytonde01
18,Udoka Azubuike,C,23,UTA,15,0,63,12,14,.857,0,0,,12,14,.857,.857,2,6,.333,10,17,27,5,2,3,3,5,26,azubuud01
19,Marvin Bagley III,PF,23,DET,22,13,482,96,176,.545,8,28,.286,88,148,.595,.568,36,46,.783,47,87,134,13,13,15,21,44,236,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,10,0,80,17,37,.459,13,29,.448,4,8,.500,.635,1,2,.500,0,14,14,2,4,0,3,1,48,baldwpa01
21,LaMelo Ball,PG,21,CHO,11,11,374,95,228,.417,45,123,.366,50,105,.476,.515,23,28,.821,12,48,60,83,12,2,35,40,258,ballla01
22,Mo Bamba,C,24,ORL,30,5,567,89,177,.503,33,87,.379,56,90,.622,.596,31,45,.689,38,122,160,32,8,32,20,70,242,bambamo01
23,Paolo Banchero,PF,20,ORL,29,29,987,199,450,.442,35,112,.313,164,338,.485,.481,173,230,.752,33,162,195,112,27,17,85,70,606,banchpa01
24,Desmond Bane,SG,24,MEM,15,15,479,109,251,.434,48,121,.397,61,130,.469,.530,70,76,.921,6,61,67,59,8,4,30,38,336,banede01
25,Dalano Banton,PG,23,TOR,22,2,222,44,104,.423,13,43,.302,31,61,.508,.486,14,17,.824,9,23,32,26,12,12,13,24,115,bantoda01
26,Dominick Barlow,SF,19,SAS,4,0,26,3,7,.429,0,3,.000,3,4,.750,.429,4,4,1.000,2,1,3,3,1,0,0,3,10,barlodo01
27,Harrison Barnes,PF,30,SAC,33,33,1040,140,297,.471,38,126,.302,102,171,.596,.535,133,165,.806,32,145,177,60,27,4,42,47,451,barneha02
28,Scottie Barnes,PF,21,TOR,31,30,1044,183,406,.451,31,103,.301,152,303,.502,.489,57,74,.770,60,154,214,145,26,21,71,56,454,barnesc01
29,RJ Barrett,SG,22,NYK,35,35,1192,241,565,.427,62,187,.332,179,378,.474,.481,147,193,.762,30,161,191,104,18,6,85,83,691,barrerj01
30,Will Barton,SG,32,WAS,31,0,692,92,248,.371,44,119,.370,48,129,.372,.460,28,35,.800,7,87,94,85,16,9,37,36,256,bartowi01
31,Charles Bassey,C,22,SAS,23,1,313,47,70,.671,2,6,.333,45,64,.703,.686,16,24,.667,44,76,120,28,8,22,26,48,112,bassech01
32,Keita Bates-Diop,SF,27,SAS,27,10,496,82,157,.522,13,37,.351,69,120,.575,.564,34,42,.810,33,48,81,22,18,4,21,23,211,bateske01
33,Nicolas Batum,PF,34,LAC,36,5,774,79,176,.449,59,139,.424,20,37,.541,.616,16,26,.615,33,126,159,48,23,29,26,73,233,batumni01
34,Darius Bazley,PF,22,OKC,23,1,381,49,112,.438,12,33,.364,37,79,.468,.491,20,41,.488,21,64,85,22,12,26,14,28,130,bazleda01
35,Bradley Beal,SG,29,WAS,23,23,793,204,387,.527,36,105,.343,168,282,.596,.574,97,113,.858,20,62,82,120,23,14,64,43,541,bealbr01
36,Malik Beasley,SG,26,UTA,37,5,1005,190,463,.410,119,318,.374,71,145,.490,.539,27,33,.818,20,116,136,55,33,5,36,50,526,beaslma01
37,MarJon Beauchamp,SF,22,MIL,23,8,335,50,121,.413,26,71,.366,24,50,.480,.521,14,19,.737,20,38,58,11,11,2,23,37,140,beaucma01
38,Dāvis Bertāns,PF,30,DAL,16,0,154,24,58,.414,21,51,.412,3,7,.429,.595,10,12,.833,4,10,14,4,3,2,4,19,79,bertada01
39,Patrick Beverley,PG,34,LAL,28,28,757,56,148,.378,30,95,.316,26,53,.491,.480,25,31,.806,16,87,103,74,25,14,27,79,167,beverpa01
40,Saddiq Bey,SF,23,DET,33,17,936,147,366,.402,57,176,.324,90,190,.474,.480,112,134,.836,31,107,138,51,28,6,35,54,463,beysa01
41,Khem Birch,C,30,TOR,19,0,150,18,31,.581,1,2,.500,17,29,.586,.597,4,5,.800,8,16,24,7,5,5,6,21,41,birchkh01
42,Goga Bitadze,C,23,IND,17,0,169,25,44,.568,3,12,.250,22,32,.688,.602,9,18,.500,17,21,38,16,6,9,10,30,62,bitadgo01
43,Bismack Biyombo,C,30,PHO,30,4,412,48,83,.578,0,0,,48,83,.578,.578,13,38,.342,33,78,111,26,10,41,29,61,109,biyombi01
44,Buddy Boeheim,PG,23,DET,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,boehebu01
45,Bogdan Bogdanović,SG,30,ATL,12,3,359,75,171,.439,43,102,.422,32,69,.464,.564,16,20,.800,3,42,45,27,9,3,19,14,209,bogdabo01
46,Bojan Bogdanović,PF,33,DET,36,36,1124,242,507,.477,86,213,.404,156,294,.531,.562,174,193,.902,19,110,129,88,21,2,85,66,744,bogdabo02
47,Bol Bol,PF,23,ORL,36,31,936,178,300,.593,26,65,.400,152,235,.647,.637,51,68,.750,49,205,254,34,18,57,70,50,433,bolbo01
48,Leandro Bolmaro,SG,22,UTA,10,0,58,3,16,.188,0,3,.000,3,13,.231,.188,0,0,,3,1,4,6,3,1,7,7,6,bolmale01
49,Devin Booker,SG,26,PHO,29,29,1002,283,593,.477,67,181,.370,216,412,.524,.534,153,180,.850,23,111,134,161,26,11,70,77,786,bookede01
50,Brandon Boston Jr.,SG,21,LAC,13,0,124,23,61,.377,8,18,.444,15,43,.349,.443,15,19,.789,3,10,13,9,3,0,5,9,69,bostobr01
51,Chris Boucher,PF,30,TOR,29,0,644,103,229,.450,22,81,.272,81,148,.547,.498,71,93,.763,63,114,177,15,21,21,19,71,299,bouchch01
52,James Bouknight,SG,22,CHO,23,0,340,40,119,.336,16,62,.258,24,57,.421,.403,15,22,.682,5,43,48,27,12,4,18,29,111,bouknja01
53,Tony Bradley,C,25,CHI,9,0,25,4,7,.571,2,4,.500,2,3,.667,.714,2,2,1.000,1,9,10,1,1,0,1,1,12,bradlto01
54,Malaki Branham,SF,19,SAS,20,4,363,52,118,.441,20,62,.323,32,56,.571,.525,13,15,.867,5,26,31,32,8,3,20,27,137,branhma01
55,Christian Braun,SG,21,DEN,31,1,461,46,100,.460,12,35,.343,34,65,.523,.520,11,21,.524,19,46,65,18,10,7,12,36,115,braunch01
56,Mikal Bridges,SF,26,PHO,36,36,1301,210,456,.461,66,167,.395,144,289,.498,.533,75,85,.882,37,127,164,110,41,33,45,82,561,bridgmi01
57,Oshae Brissett,SF,24,IND,30,0,481,56,128,.438,27,74,.365,29,54,.537,.543,47,70,.671,22,73,95,14,20,5,18,38,186,brissos01
58,Malcolm Brogdon,PG,30,BOS,30,0,705,139,291,.478,52,120,.433,87,171,.509,.567,69,80,.863,23,99,122,114,16,8,54,43,399,brogdma01
59,Dillon Brooks,SG,27,MEM,30,30,918,195,476,.410,67,194,.345,128,282,.454,.480,65,83,.783,21,86,107,82,26,4,55,100,522,brookdi01
60,Bruce Brown,PG,26,DEN,33,18,973,142,290,.490,41,103,.398,101,187,.540,.560,31,39,.795,29,107,136,134,31,21,53,84,356,brownbr01
61,Greg Brown III,PF,21,POR,10,0,67,8,19,.421,1,5,.200,7,14,.500,.447,2,8,.250,2,9,11,0,4,5,5,8,19,browngr01
62,Jaylen Brown,SF,26,BOS,33,33,1184,332,674,.493,85,249,.341,247,425,.581,.556,141,177,.797,38,201,239,113,40,15,104,88,890,brownja02
63,Kendall Brown,SG,19,IND,6,0,40,4,7,.571,0,1,.000,4,6,.667,.571,1,2,.500,2,4,6,3,4,0,2,9,9,brownke03
64,Moses Brown,C,23,LAC,26,1,168,35,56,.625,0,0,,35,56,.625,.625,23,47,.489,31,44,75,3,2,10,7,24,93,brownmo01
65,Troy Brown Jr.,SF,23,LAL,32,17,710,79,180,.439,33,93,.355,46,87,.529,.531,19,19,1.000,25,97,122,23,22,3,27,45,210,browntr01
66,Jalen Brunson,PG,26,NYK,34,34,1104,247,537,.460,52,142,.366,195,395,.494,.508,141,162,.870,14,95,109,223,36,5,69,80,687,brunsja01
67,Thomas Bryant,C,25,LAL,21,9,408,89,133,.669,13,26,.500,76,107,.710,.718,38,56,.679,30,88,118,20,7,10,17,42,229,bryanth01
68,Reggie Bullock,SF,31,DAL,34,23,957,59,172,.343,46,145,.317,13,27,.481,.477,15,21,.714,13,100,113,35,24,5,16,75,179,bullore01
69,Alec Burks,SG,31,DET,24,0,510,101,219,.461,48,111,.432,53,108,.491,.571,82,104,.788,6,62,68,47,21,3,28,56,332,burksal01
70,Jimmy Butler,SF,33,MIA,22,22,766,165,309,.534,16,47,.340,149,262,.569,.560,138,167,.826,45,102,147,125,45,8,39,33,484,butleji01
71,John Butler,C,20,POR,4,0,15,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,1,1,2,1,0,1,0,0,2,butlejo01
72,Jamal Cain,SF,23,MIA,9,0,101,16,30,.533,1,6,.167,15,24,.625,.550,5,8,.625,7,14,21,5,5,0,2,10,38,cainja01
73,Kentavious Caldwell-Pope,SG,29,DEN,33,33,1044,134,288,.465,68,149,.456,66,139,.475,.583,38,47,.809,16,86,102,72,40,12,39,68,374,caldwke01
74,Facundo Campazzo,PG,31,DAL,8,0,52,3,13,.231,3,11,.273,0,2,.000,.346,1,2,.500,0,2,2,9,6,0,3,3,10,campafa01
75,Vlatko Čančar,PF,25,DEN,23,0,276,38,76,.500,21,43,.488,17,33,.515,.638,6,7,.857,8,32,40,24,7,5,17,30,103,cancavl01
76,Clint Capela,C,28,ATL,27,27,743,147,231,.636,0,0,,147,231,.636,.636,30,50,.600,117,205,322,20,17,36,26,64,324,capelca01
77,Vernon Carey Jr.,C,21,WAS,4,0,7,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,3,3,1,0,0,1,2,0,careyve01
78,Jevon Carter,PG,27,MIL,34,26,856,96,230,.417,46,117,.393,50,113,.442,.517,18,21,.857,22,74,96,103,43,17,45,70,256,carteje01
79,Wendell Carter Jr.,C,23,ORL,18,15,555,102,196,.520,21,62,.339,81,134,.604,.574,63,81,.778,39,112,151,56,9,8,43,52,288,cartewe01
80,Alex Caruso,PG,28,CHI,30,14,749,53,121,.438,25,67,.373,28,54,.519,.541,29,38,.763,12,72,84,109,48,20,41,69,160,carusal01
81,Julian Champagnie,SF,21,PHI,2,0,7,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,1,0,0,0,0,champju02
82,Justin Champagnie,SF,21,TOR,3,0,11,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,1,3,4,1,0,0,0,1,6,champju01
83,Kennedy Chandler,PG,20,MEM,15,0,154,20,51,.392,2,12,.167,18,39,.462,.412,4,9,.444,3,20,23,34,8,4,13,7,46,chandke01
84,Max Christie,SG,19,LAL,19,0,239,19,53,.358,14,34,.412,5,19,.263,.491,5,6,.833,5,38,43,9,3,2,5,11,57,chrisma02
85,Josh Christopher,SG,21,HOU,20,0,138,22,53,.415,3,14,.214,19,39,.487,.443,6,8,.750,5,16,21,12,5,1,12,14,53,chrisjo01
86,Brandon Clarke,PF,26,MEM,33,3,648,138,212,.651,1,6,.167,137,206,.665,.653,61,82,.744,45,135,180,39,15,25,37,77,338,clarkbr01
87,Jordan Clarkson,SG,30,UTA,36,36,1168,264,603,.438,98,275,.356,166,328,.506,.519,106,129,.822,41,99,140,159,16,10,102,67,732,clarkjo01
88,Nic Claxton,C,23,BRK,32,32,899,171,230,.743,0,1,.000,171,229,.747,.743,40,87,.460,79,192,271,44,25,76,38,90,382,claxtni01
89,Amir Coffey,SG,25,LAC,29,7,404,34,87,.391,9,26,.346,25,61,.410,.443,33,41,.805,11,22,33,34,6,2,13,33,110,coffeam01
90,John Collins,PF,25,ATL,27,27,826,133,268,.496,20,85,.235,113,183,.617,.534,56,69,.812,31,177,208,35,22,36,33,86,342,collijo01
91,Zach Collins,PF,25,SAS,23,6,480,80,148,.541,14,40,.350,66,108,.611,.588,31,43,.721,47,86,133,59,10,22,51,85,205,colliza01
92,Mike Conley,PG,35,UTA,26,25,755,86,226,.381,45,129,.349,41,97,.423,.480,33,46,.717,10,47,57,194,29,6,42,58,250,conlemi01
93,Pat Connaughton,SG,30,MIL,18,2,364,43,124,.347,29,92,.315,14,32,.438,.464,11,17,.647,10,54,64,17,9,3,9,23,126,connapa01
94,Robert Covington,PF,32,LAC,20,0,312,37,97,.381,19,61,.311,18,36,.500,.479,14,17,.824,9,62,71,24,10,13,15,40,107,covinro01
95,Torrey Craig,SF,32,PHO,33,25,819,105,221,.475,47,117,.402,58,104,.558,.581,17,21,.810,66,109,175,51,24,23,23,80,274,craigto01
96,Jarrett Culver,SG,23,ATL,10,1,137,17,43,.395,1,12,.083,16,31,.516,.407,9,13,.692,10,28,38,6,6,2,7,14,44,culveja01
97,Cade Cunningham,PG,21,DET,12,12,400,93,224,.415,17,61,.279,76,163,.466,.453,36,43,.837,12,62,74,72,10,7,39,34,239,cunnica01
98,Seth Curry,SG,32,BRK,23,0,485,69,161,.429,35,90,.389,34,71,.479,.537,17,18,.944,5,40,45,51,14,4,22,44,190,curryse01
99,Stephen Curry,PG,34,GSW,26,26,894,262,524,.500,131,302,.434,131,222,.590,.625,124,135,.919,16,155,171,177,27,9,81,54,779,curryst01
100,Dyson Daniels,PG,19,NOP,25,5,493,48,102,.471,16,39,.410,32,63,.508,.549,15,24,.625,17,71,88,55,19,6,23,50,127,daniedy01
101,Anthony Davis,C,29,LAL,25,25,836,255,429,.594,9,31,.290,246,398,.618,.605,166,201,.826,78,224,302,66,33,53,47,68,685,davisan02
102,Johnny Davis,SG,20,WAS,10,0,50,4,13,.308,0,3,.000,4,10,.400,.308,3,3,1.000,1,6,7,2,0,1,1,12,11,davisjo06
103,Terence Davis,SG,25,SAC,27,2,363,68,156,.436,38,105,.362,30,51,.588,.558,14,17,.824,12,57,69,35,20,8,24,54,188,daviste02
104,JD Davison,PG,20,BOS,3,0,8,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,1,1,1,1,0,1,0,2,davisjd01
105,Dewayne Dedmon,C,33,MIA,26,0,316,62,122,.508,11,36,.306,51,86,.593,.553,30,42,.714,26,71,97,15,6,12,17,53,165,dedmode01
106,Matthew Dellavedova,PG,32,SAC,14,0,100,7,23,.304,3,10,.300,4,13,.308,.370,1,3,.333,1,4,5,20,6,0,6,12,18,dellama01
107,DeMar DeRozan,SF,33,CHI,34,34,1224,318,621,.512,14,47,.298,304,574,.530,.523,250,282,.887,18,158,176,170,30,15,66,92,900,derozde01
108,Moussa Diabaté,PF,21,LAC,8,1,90,13,24,.542,0,0,,13,24,.542,.542,7,9,.778,20,12,32,2,3,1,5,10,33,diabamo01
109,Mamadi Diakite,PF,26,CLE,11,2,83,10,21,.476,4,12,.333,6,9,.667,.571,0,0,,3,8,11,2,2,5,5,11,24,diakima01
110,Hamidou Diallo,SG,24,DET,30,0,433,75,148,.507,3,15,.200,72,133,.541,.517,44,72,.611,28,58,86,27,17,5,24,59,197,diallha01
111,Gorgui Dieng,C,33,SAS,12,1,141,18,44,.409,9,31,.290,9,13,.692,.511,3,4,.750,12,27,39,22,1,5,12,22,48,dienggo01
112,Ousmane Dieng,SF,19,OKC,14,0,220,25,59,.424,10,34,.294,15,25,.600,.508,1,4,.250,6,34,40,20,5,4,7,12,61,diengou01
113,Spencer Dinwiddie,PG,29,DAL,34,34,1110,194,422,.460,93,224,.415,101,198,.510,.570,79,94,.840,15,95,110,177,30,9,54,79,560,dinwisp01
114,Donte DiVincenzo,SG,26,GSW,26,7,572,62,156,.397,42,108,.389,20,48,.417,.532,20,24,.833,21,90,111,74,31,2,35,52,186,divindo01
115,Luka Dončić,PG,23,DAL,32,32,1183,365,721,.506,92,259,.355,273,462,.591,.570,254,343,.741,32,246,278,280,54,18,120,94,1076,doncilu01
116,Tyler Dorsey,SG,26,DAL,3,0,8,4,5,.800,1,2,.500,3,3,1.000,.900,0,0,,1,1,2,0,0,0,0,0,9,dorsety01
117,Luguentz Dort,SG,23,OKC,33,33,1010,155,386,.402,54,172,.314,101,214,.472,.472,86,114,.754,48,91,139,78,33,11,51,106,450,dortlu01
118,Ayo Dosunmu,PG,23,CHI,32,24,856,121,242,.500,30,90,.333,91,152,.599,.562,27,33,.818,20,81,101,87,22,12,43,78,299,dosunay01
119,Devon Dotson,PG,23,WAS,6,0,53,1,10,.100,1,4,.250,0,6,.000,.150,0,0,,6,4,10,8,5,0,3,9,3,dotsode01
120,Jeff Dowtin,PG,25,TOR,9,0,67,9,18,.500,1,4,.250,8,14,.571,.528,1,1,1.000,4,6,10,8,0,1,1,4,20,dowtije01
121,Goran Dragić,PG,36,CHI,32,0,548,99,224,.442,38,94,.404,61,130,.469,.527,23,36,.639,11,37,48,93,7,4,39,45,259,dragigo01
122,Andre Drummond,C,29,CHI,27,0,382,70,125,.560,0,2,.000,70,123,.569,.560,27,46,.587,62,136,198,22,17,10,32,55,167,drumman01
123,Chris Duarte,SF,25,IND,14,5,262,40,107,.374,18,57,.316,22,50,.440,.458,13,17,.765,5,24,29,19,3,4,13,24,111,duartch01
124,David Duke Jr.,SG,23,BRK,14,0,126,19,43,.442,0,6,.000,19,37,.514,.442,4,8,.500,6,9,15,12,5,1,13,23,42,dukeda01
125,Kevin Durant,PF,34,BRK,34,34,1238,362,646,.560,60,162,.370,302,484,.624,.607,232,250,.928,12,223,235,182,27,52,120,84,1016,duranke01
126,Jalen Duren,C,19,DET,34,10,826,110,175,.629,0,1,.000,110,174,.632,.629,38,67,.567,117,176,293,31,19,27,40,88,258,durenja01
127,Tari Eason,PF,21,HOU,34,0,641,107,249,.430,28,72,.389,79,177,.446,.486,47,56,.839,68,104,172,27,39,17,32,75,289,easonta01
128,Anthony Edwards,SG,21,MIN,35,35,1287,298,644,.463,90,245,.367,208,399,.521,.533,137,184,.745,25,186,211,156,62,18,116,99,823,edwaran01
129,Kessler Edwards,SF,22,BRK,13,1,74,6,22,.273,2,11,.182,4,11,.364,.318,1,2,.500,6,8,14,2,3,1,4,3,15,edwarke02
130,Keon Ellis,SG,23,SAC,3,0,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,2,2,1,0,0,0,2,0,elliske01
131,Joel Embiid,C,28,PHI,25,25,895,280,529,.529,27,80,.338,253,449,.563,.555,256,300,.853,45,198,243,108,30,41,95,82,843,embiijo01
132,Drew Eubanks,C,25,POR,32,4,572,79,105,.752,2,3,.667,77,102,.755,.762,26,39,.667,48,85,133,30,14,32,24,61,186,eubandr01
133,Bruno Fernando,C,24,HOU,17,3,185,28,48,.583,0,1,.000,28,47,.596,.583,14,22,.636,27,36,63,18,5,12,10,38,70,fernabr01
134,Dorian Finney-Smith,PF,29,DAL,31,31,981,93,232,.401,58,168,.345,35,64,.547,.526,16,25,.640,44,81,125,36,30,17,29,58,260,finnedo01
135,Malachi Flynn,PG,24,TOR,22,1,334,55,129,.426,32,68,.471,23,61,.377,.550,11,13,.846,8,23,31,29,10,2,12,33,153,flynnma01
136,Simone Fontecchio,SF,27,UTA,21,0,190,27,72,.375,18,51,.353,9,21,.429,.500,9,14,.643,10,14,24,8,3,5,10,18,81,fontesi01
137,Bryn Forbes,SG,29,MIN,21,0,223,23,69,.333,9,36,.250,14,33,.424,.399,12,12,1.000,4,9,13,13,7,1,8,17,67,forbebr01
138,Trent Forrest,PG,24,ATL,15,3,211,22,46,.478,0,2,.000,22,44,.500,.478,2,3,.667,5,21,26,28,6,2,7,14,46,forretr01
139,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,fostemi02
140,Evan Fournier,SG,30,NYK,13,7,260,31,90,.344,19,57,.333,12,33,.364,.450,9,11,.818,2,25,27,22,9,3,14,28,90,fournev01
141,De'Aaron Fox,PG,25,SAC,30,30,974,260,513,.507,53,154,.344,207,359,.577,.558,134,170,.788,12,131,143,172,28,12,79,80,707,foxde01
142,Markelle Fultz,SG,24,ORL,15,15,405,70,154,.455,8,20,.400,62,134,.463,.481,21,31,.677,17,42,59,79,22,5,35,36,169,fultzma01
143,Wenyen Gabriel,PF,25,LAL,26,2,374,56,93,.602,6,16,.375,50,77,.649,.634,25,33,.758,39,64,103,14,11,13,19,52,143,gabriwe01
144,Daniel Gafford,C,24,WAS,36,5,557,103,137,.752,0,0,,103,137,.752,.752,44,73,.603,65,96,161,18,13,41,32,70,250,gaffoda01
145,Darius Garland,PG,23,CLE,29,29,1043,213,480,.444,72,182,.396,141,298,.473,.519,124,141,.879,12,66,78,227,39,5,95,60,622,garlada01
146,Usman Garuba,PF,20,HOU,32,1,464,38,78,.487,8,16,.500,30,62,.484,.538,15,28,.536,63,94,157,34,25,18,23,52,99,garubus01
147,Luka Garza,C,24,MIN,7,0,26,6,10,.600,0,3,.000,6,7,.857,.600,3,4,.750,3,5,8,3,0,0,1,5,15,garzalu01
148,Rudy Gay,SF,36,UTA,23,0,364,38,113,.336,13,59,.220,25,54,.463,.394,9,13,.692,13,59,72,16,11,10,14,29,98,gayru01
149,Paul George,SF,32,LAC,26,26,890,210,467,.450,77,202,.381,133,265,.502,.532,118,134,.881,17,143,160,136,38,13,91,68,615,georgpa01
150,Taj Gibson,PF,37,WAS,23,1,206,31,58,.534,3,13,.231,28,45,.622,.560,15,20,.750,12,24,36,12,10,6,11,42,80,gibsota01
151,Josh Giddey,SG,20,OKC,29,29,890,182,394,.462,29,86,.337,153,308,.497,.499,29,40,.725,51,183,234,162,19,14,94,57,422,giddejo01
152,Shai Gilgeous-Alexander,SG,24,OKC,31,31,1111,325,643,.505,32,91,.352,293,552,.531,.530,294,318,.925,25,126,151,180,53,34,105,81,976,gilgesh01
153,Anthony Gill,PF,30,WAS,28,4,295,31,54,.574,2,14,.143,29,40,.725,.593,14,17,.824,15,26,41,13,5,5,5,35,78,gillan01
154,Rudy Gobert,C,30,MIN,30,30,942,158,237,.667,0,3,.000,158,234,.675,.667,97,142,.683,106,253,359,27,24,38,49,92,413,goberru01
155,Jordan Goodwin,PG,24,WAS,27,3,563,80,168,.476,20,50,.400,60,118,.508,.536,24,33,.727,31,78,109,80,31,15,28,51,204,goodwjo01
156,Aaron Gordon,PF,27,DEN,29,29,869,196,321,.611,30,77,.390,166,244,.680,.657,85,132,.644,69,124,193,61,26,23,46,53,507,gordoaa01
157,Eric Gordon,SG,34,HOU,28,28,835,110,265,.415,52,150,.347,58,115,.504,.513,49,58,.845,8,48,56,68,18,10,49,21,321,gordoer01
158,Devonte' Graham,PG,27,NOP,34,0,510,55,149,.369,43,121,.355,12,28,.429,.513,32,39,.821,11,43,54,71,15,8,19,26,185,grahade01
159,Jerami Grant,PF,28,POR,32,32,1152,236,488,.484,85,189,.450,151,299,.505,.571,150,191,.785,33,109,142,88,25,26,61,74,707,grantje01
160,A.J. Green,SG,23,MIL,12,0,69,13,24,.542,9,19,.474,4,5,.800,.729,3,3,1.000,2,6,8,4,1,0,2,11,38,greenaj01
161,Draymond Green,PF,32,GSW,32,32,986,103,198,.520,18,57,.316,85,141,.603,.566,31,43,.721,23,184,207,214,22,26,78,93,255,greendr01
162,Jalen Green,SG,20,HOU,34,34,1173,250,599,.417,78,246,.317,172,353,.487,.482,156,196,.796,20,129,149,121,28,8,100,53,734,greenja05
